"","people_id","name","session","party_id","party","role_id","role","district","NBillsCosponsored","NBillsPrimary","MeanPos","MedianPos","GOP","DEM","IND","Female","LittleLeader","BigLeader"
"WPSA.L.78.34",12205,"Patrick Hickey",78,2,"R",1,"Rep","HD-025",44,8,7.97727272727273,4.5,1,0,0,0,0,0
"WPSA.L.77.48",12209,"Teresa Benitez-Thompson",77,1,"D",1,"Rep","HD-027",57,5,7.63157894736842,5,0,1,0,1,0,0
"WPSA.L.78.35",12209,"Teresa Benitez-Thompson",78,1,"D",1,"Rep","HD-027",51,8,6,5,0,1,0,1,1,0
"WPSA.L.79.27",12209,"Teresa Benitez-Thompson",79,1,"D",1,"Rep","HD-027",55,7,6.70909090909091,4,0,1,0,1,1,1
"WPSA.L.80.24",12209,"Teresa Benitez-Thompson",80,1,"D",1,"Rep","HD-027",56,11,3.96428571428571,3,0,1,0,1,1,1
"WPSA.L.81.16",12209,"Teresa Benitez-Thompson",81,1,"D",1,"Rep","HD-027",38,9,6.21052631578947,3.5,0,1,0,1,1,1
"WPSA.L.82.11",12209,"Teresa Benitez-Thompson",82,1,"D",1,"Rep","HD-027",2,1,1.5,1.5,0,1,0,1,0,0
"WPSA.L.77.49",12210,"Steven Brooks",77,1,"D",1,"Rep","HD-017",5,0,19.4,28,0,1,0,0,0,0
"WPSA.L.77.50",12211,"Irene Bustamante Adams",77,1,"D",1,"Rep","HD-042",64,8,7.28125,6,0,1,0,1,0,0
"WPSA.L.78.36",12211,"Irene Bustamante Adams",78,1,"D",1,"Rep","HD-042",62,7,7.24193548387097,7,0,1,0,1,0,0
"WPSA.L.79.28",12211,"Irene Bustamante Adams",79,1,"D",1,"Rep","HD-042",46,12,7.89130434782609,5.5,0,1,0,1,1,1
"WPSA.L.80.25",12211,"Irene Bustamante Adams",80,1,"D",1,"Rep","HD-042",2,0,9.5,9.5,0,1,0,1,0,0
"WPSA.L.77.51",12212,"Scott Hammond",77,2,"R",2,"Sen","SD-018",82,11,10.8048780487805,7,1,0,0,0,0,0
"WPSA.L.78.37",12212,"Scott Hammond",78,2,"R",2,"Sen","SD-018",47,16,6.19148936170213,2,1,0,0,0,1,1
"WPSA.L.79.29",12212,"Scott Hammond",79,2,"R",2,"Sen","SD-018",53,14,9.9433962264151,6,1,0,0,0,1,1
"WPSA.L.80.26",12212,"Scott Hammond",80,2,"R",2,"Sen","SD-018",74,20,5.31081081081081,3,1,0,0,0,1,1
"WPSA.L.81.17",12212,"Scott Hammond",81,2,"R",2,"Sen","SD-018",67,11,6.56716417910448,5,1,0,0,0,1,1
"WPSA.L.82.12",12212,"Scott Hammond",82,2,"R",2,"Sen","SD-018",54,17,5.90740740740741,3.5,1,0,0,0,0,0
"WPSA.L.77.52",12213,"Dina Neal",77,1,"D",1,"Rep","HD-007",60,10,15.75,10,0,1,0,1,0,0
"WPSA.L.78.38",12213,"Dina Neal",78,1,"D",1,"Rep","HD-007",50,9,11.4,11,0,1,0,1,0,0
"WPSA.L.79.30",12213,"Dina Neal",79,1,"D",1,"Rep","HD-007",59,10,14.2033898305085,11,0,1,0,1,0,0
"WPSA.L.80.27",12213,"Dina Neal",80,1,"D",1,"Rep","HD-007",49,10,9.06122448979592,6,0,1,0,1,0,0
"WPSA.L.81.18",12213,"Dina Neal",81,1,"D",2,"Sen","SD-004",36,13,7.13888888888889,5,0,1,0,1,0,0
"WPSA.L.82.13",12213,"Dina Neal",82,1,"D",2,"Sen","SD-004",85,21,6.90588235294118,6,0,1,0,1,0,0
"WPSA.L.77.53",12249,"Greg Brower",77,2,"R",2,"Sen","SD-015",64,15,8.375,3.5,1,0,0,0,0,0
"WPSA.L.78.39",12249,"Greg Brower",78,2,"R",2,"Sen","SD-015",33,12,6.39393939393939,3,1,0,0,0,0,0
"WPSA.L.77.54",12251,"Michael Roberson",77,2,"R",2,"Sen","SD-020",88,30,9.88636363636364,3,1,0,0,0,1,0
"WPSA.L.78.40",12251,"Michael Roberson",78,2,"R",2,"Sen","SD-020",69,42,4.97101449275362,1,1,0,0,0,1,1
"WPSA.L.79.31",12251,"Michael Roberson",79,2,"R",2,"Sen","SD-020",62,22,8.01612903225806,2,1,0,0,0,1,1
"WPSA.L.77.55",12728,"Cresent Hardy",77,2,"R",1,"Rep","HD-019",115,6,11.0434782608696,6,1,0,0,0,1,0
"WPSA.L.78.41",12728,"Cresent Hardy",78,2,"R",1,"Rep","HD-019",16,0,21.6875,15.5,1,0,0,0,0,0
"WPSA.L.79.32",12728,"Cresent Hardy",79,2,"R",1,"Rep","HD-019",15,0,21.2,14,1,0,0,0,0,0
"WPSA.L.77.56",15152,"Michele Fiore",77,2,"R",1,"Rep","HD-004",113,6,8.52212389380531,6,1,0,0,1,0,0
"WPSA.L.78.42",15152,"Michele Fiore",78,2,"R",1,"Rep","HD-004",74,10,5.18918918918919,3,1,0,0,1,0,0
"WPSA.L.79.33",15152,"Michele Fiore",79,2,"R",1,"Rep","HD-004",3,0,3.66666666666667,4,1,0,0,1,0,0
"WPSA.L.77.57",15153,"James Oscarson",77,2,"R",1,"Rep","HD-036",91,5,15.0989010989011,12,1,0,0,0,0,0
"WPSA.L.78.43",15153,"James Oscarson",78,2,"R",1,"Rep","HD-036",57,9,10.859649122807,8,1,0,0,0,0,0
"WPSA.L.79.34",15153,"James Oscarson",79,2,"R",1,"Rep","HD-036",43,8,13,7,1,0,0,0,1,0
"WPSA.L.77.58",15869,"Lesley Cohen",77,1,"D",1,"Rep","HD-029",42,3,10,8,0,1,0,1,0,0
"WPSA.L.79.35",15869,"Lesley Cohen",79,1,"D",1,"Rep","HD-029",58,9,9.08620689655172,8,0,1,0,1,0,0
"WPSA.L.80.28",15869,"Lesley Cohen",80,1,"D",1,"Rep","HD-029",60,9,6.06666666666667,5,0,1,0,1,0,0
"WPSA.L.81.19",15869,"Lesley Cohen",81,1,"D",1,"Rep","HD-029",31,7,8.32258064516129,6,0,1,0,1,0,0
"WPSA.L.82.14",15869,"Lesley Cohen",82,1,"D",1,"Rep","HD-029",34,8,7.76470588235294,5.5,0,1,0,1,0,0
"WPSA.L.77.59",15870,"Wesley Duncan",77,2,"R",1,"Rep","HD-037",71,5,9.63380281690141,7,1,0,0,0,0,0
"WPSA.L.77.60",15871,"Andy Eisen",77,1,"D",1,"Rep","HD-021",62,6,9.67741935483871,6.5,0,1,0,0,0,0
"WPSA.L.78.44",15871,"Andy Eisen",78,1,"D",1,"Rep","HD-021",2,0,3,3,0,1,0,0,0,0
"WPSA.L.77.61",15872,"James Healey",77,1,"D",1,"Rep","HD-035",80,4,12.3375,10,0,1,0,0,0,0
"WPSA.L.78.45",15872,"James Healey",78,1,"D",1,"Rep","HD-035",3,0,8.33333333333333,7,0,1,0,0,0,0
"WPSA.L.77.62",15873,"Andrew Martin",77,1,"D",1,"Rep","HD-009",62,4,16.1290322580645,12,0,1,0,0,0,0
"WPSA.L.78.46",15873,"Andrew Martin",78,1,"D",1,"Rep","HD-009",1,0,12,12,0,1,0,0,0,0
"WPSA.L.77.63",15874,"Paul Anderson",77,2,"R",1,"Rep","HD-013",84,5,6.47619047619048,4,1,0,0,0,0,0
"WPSA.L.78.47",15874,"Paul Anderson",78,2,"R",1,"Rep","HD-013",30,5,4.83333333333333,3.5,1,0,0,0,1,1
"WPSA.L.79.36",15874,"Paul Anderson",79,2,"R",1,"Rep","HD-013",24,3,8.125,4.5,1,0,0,0,1,1
"WPSA.L.77.64",15875,"Michael Sprinkle",77,1,"D",1,"Rep","HD-030",52,4,18.4230769230769,12,0,1,0,0,0,0
"WPSA.L.78.48",15875,"Michael Sprinkle",78,1,"D",1,"Rep","HD-030",58,7,14,13,0,1,0,0,0,0
"WPSA.L.79.37",15875,"Michael Sprinkle",79,1,"D",1,"Rep","HD-030",53,11,14.6037735849057,7,0,1,0,0,1,1
"WPSA.L.80.29",15875,"Michael Sprinkle",80,1,"D",1,"Rep","HD-030",12,4,7.75,4.5,0,1,0,0,0,0
"WPSA.L.77.65",15876,"Heidi Swank",77,1,"D",1,"Rep","HD-016",66,1,19.8939393939394,15.5,0,1,0,1,0,0
"WPSA.L.78.49",15876,"Heidi Swank",78,1,"D",1,"Rep","HD-016",58,8,13.6206896551724,11.5,0,1,0,1,0,0
"WPSA.L.79.38",15876,"Heidi Swank",79,1,"D",1,"Rep","HD-016",60,14,15.25,11,0,1,0,1,1,0
"WPSA.L.80.30",15876,"Heidi Swank",80,1,"D",1,"Rep","HD-016",53,9,10.9433962264151,9,0,1,0,1,1,0
"WPSA.L.77.66",15877,"Jim Wheeler",77,2,"R",1,"Rep","HD-039",112,5,15.0446428571429,11,1,0,0,0,0,0
"WPSA.L.78.50",15877,"Jim Wheeler",78,2,"R",1,"Rep","HD-039",85,10,11.2941176470588,8,1,0,0,0,1,1
"WPSA.L.79.39",15877,"Jim Wheeler",79,2,"R",1,"Rep","HD-039",44,10,15.0681818181818,9,1,0,0,0,1,0
"WPSA.L.80.31",15877,"Jim Wheeler",80,2,"R",1,"Rep","HD-039",52,15,6.65384615384615,3,1,0,0,0,1,1
"WPSA.L.81.20",15877,"Jim Wheeler",81,2,"R",1,"Rep","HD-039",58,9,9.06896551724138,3,1,0,0,0,0,0
"WPSA.L.77.67",15878,"Aaron Ford",77,1,"D",2,"Sen","SD-011",65,7,9.70769230769231,5,0,1,0,0,1,0
"WPSA.L.78.51",15878,"Aaron Ford",78,1,"D",2,"Sen","SD-011",120,15,6.33333333333333,3,0,1,0,0,1,1
"WPSA.L.79.40",15878,"Aaron Ford",79,1,"D",2,"Sen","SD-011",124,29,6.99193548387097,4,0,1,0,0,1,1
"WPSA.L.80.32",15878,"Aaron Ford",80,1,"D",2,"Sen","SD-011",4,0,7.75,6.5,0,1,0,0,0,0
"WPSA.L.77.68",15879,"Mark Hutchison",77,2,"R",2,"Sen","SD-006",79,12,9.65822784810127,5,1,0,0,0,0,0
"WPSA.L.77.69",15880,"Justin Jones",77,1,"D",2,"Sen","SD-009",86,13,10.5813953488372,8,0,1,0,0,1,0
"WPSA.L.78.52",15880,"Justin Jones",78,1,"D",2,"Sen","SD-009",13,1,10.0769230769231,6,0,1,0,0,0,0
"WPSA.L.79.41",15880,"Justin Jones",79,1,"D",2,"Sen","SD-009",1,0,6,6,0,1,0,0,0,0
"WPSA.L.77.70",15881,"Patricia Spearman",77,1,"D",2,"Sen","SD-001",90,8,12.7666666666667,9,0,1,0,1,0,0
"WPSA.L.78.53",15881,"Patricia Spearman",78,1,"D",2,"Sen","SD-001",98,18,8.53061224489796,4,0,1,0,1,0,0
"WPSA.L.79.42",15881,"Patricia Spearman",79,1,"D",2,"Sen","SD-001",112,22,9.33928571428571,5,0,1,0,1,1,1
"WPSA.L.80.33",15881,"Patricia Spearman",80,1,"D",2,"Sen","SD-001",114,29,5.14035087719298,3,0,1,0,1,1,1
"WPSA.L.81.21",15881,"Patricia Spearman",81,1,"D",2,"Sen","SD-001",58,20,6.74137931034483,3,0,1,0,1,1,0
