"first_name","people_id","name","middle_name","last_name","nickname","party_id","party","role_id","role","district","followthemoney_eid","votesmart_id","opensecrets_id","ballotpedia","knowwho_pid","committee_id","gender","Female"
"Fabian",22839,"Fabian Donate","","Donate","",1,"D",2,"Sen","SD-010",0,195789,NA,"Fabian_Donate",766386,0,"male",0
"Glen",21180,"Glen Leavitt","Kaimi","Leavitt","",2,"R",1,"Rep","HD-023",45285482,180983,NA,"Glen_Leavitt",659364,0,"male",0
"Glenn",17520,"Glenn Trowbridge","","Trowbridge","",2,"R",1,"Rep","HD-037",9721121,156161,NA,"Glenn_Trowbridge",525256,0,"male",0
"Greg",12249,"Greg Brower","","Brower","",2,"R",2,"Sen","SD-015",6596673,22804,NA,"Greg_Brower",330205,0,"male",0
"Greg",21354,"Greg Smith","","Smith","",1,"D",1,"Rep","HD-030",0,186372,NA,"Greg_Smith_(Nevada)",701460,0,"male",0
"Gregory",21177,"Gregory Hafen","T.","Hafen","",2,"R",1,"Rep","HD-036",40612305,186122,NA,"Gregory_Hafen",693559,0,"male",0
"Gregory",24700,"Gregory Koenig","S.","Koenig","",2,"R",1,"Rep","HD-038",55496564,204098,NA,"Gregory_Koenig",806927,0,"male",0
"Harry",8499,"Harry Mortenson","","Mortenson","",1,"D",1,"Rep","HD-042",6395626,12542,NA,"Harry_Mortenson",197592,0,"male",0
"Harvey",8519,"Harvey Munford","J.","Munford","",1,"D",1,"Rep","HD-006",6436851,44081,NA,"Harvey_Munford",227668,0,"male",0
"Heidi",8466,"Heidi Gansert","","Gansert","",2,"R",2,"Sen","SD-015",6665877,43958,NA,"Heidi_Gansert",227679,0,"female",1
"Heidi",15876,"Heidi Swank","","Swank","",1,"D",1,"Rep","HD-016",13789833,137744,NA,"Heidi_Swank",407450,0,"female",1
"Heidi",22769,"Heidi Kasama","W.","Kasama","",2,"R",1,"Rep","HD-002",18780959,191090,NA,"Heidi_Kasama",735895,0,"female",1
"Howard",21186,"Howard Watts","","Watts","",1,"D",1,"Rep","HD-015",45285551,180976,NA,"Howard_Watts_III",659350,0,"male",0
"Ira",12200,"Ira Hansen","","Hansen","",2,"R",1,"Rep","HD-032",6686502,121908,NA,"Ira_Hansen",292353,0,"male",0
"Irene",12211,"Irene Bustamante Adams","","Bustamante Adams","",1,"D",1,"Rep","HD-042",6508404,121922,NA,"Irene_Bustamante_Adams",309738,0,"female",1
"James",8470,"James Settelmeyer","Arnold","Settelmeyer","",2,"R",2,"Sen","SD-017",6670193,67461,NA,"James_Settelmeyer",249440,0,"male",0
"James",8500,"James Ohrenschall","","Ohrenschall","",1,"D",1,"Rep","HD-012",6476751,66853,NA,"James_Ohrenschall",249423,0,"male",0
"James",15153,"James Oscarson","","Oscarson","",2,"R",1,"Rep","HD-036",23594337,138580,NA,"James_Oscarson",407233,0,"male",0
"James",15872,"James Healey","W.","Healey","",1,"D",1,"Rep","HD-035",13789858,138046,NA,"James_Healey",407484,0,"male",0
"Jason",12202,"Jason Frierson","","Frierson","",1,"D",1,"Rep","HD-008",13009013,121835,NA,"Jason_Frierson",309928,0,"male",0
"Jeff",24704,"Jeff Stone","","Stone","",2,"R",2,"Sen","SD-020",52680782,204154,NA,"Jeff_Stone_(Nevada)",807116,0,"male",0
"Jerry",8517,"Jerry Claborn","D.","Claborn","",1,"D",1,"Rep","HD-019",6395729,22767,NA,"Jerry_Claborn",197569,0,"male",0
"Jesse",17975,"Jesse Haw","","Haw","",2,"R",2,"Sen","SD-015",0,0,NA,"Jesse_Haw",600536,0,"male",0
"Jill",17446,"Jill Dickman","","Dickman","",2,"R",1,"Rep","HD-031",23594371,152682,NA,"Jill_Dickman",490323,0,"female",1
"Jill",19231,"Jill Tolles","","Tolles","",2,"R",1,"Rep","HD-025",9699701,169675,NA,"Jill_Tolles",574393,0,"female",1
"Jim",15877,"Jim Wheeler","","Wheeler","",2,"R",1,"Rep","HD-039",6686531,121918,NA,"Jim_Wheeler",293501,0,"male",0
"Jim",19227,"Jim Marchant","","Marchant","",2,"R",1,"Rep","HD-037",39827563,169580,NA,"Jim_Marchant",574153,0,"male",0
"Joe",25734,"Joe Dalia","","Dalia","",1,"D",1,"Rep","HD-029",59832387,204215,NA,"Joe_Dalia",0,0,"male",0
"John",8468,"John Hambrick","C.","Hambrick","",2,"R",1,"Rep","HD-002",6676297,106877,NA,"John_Hambrick",272127,0,"male",0
"John",8473,"John Carpenter","C.","Carpenter","",2,"R",1,"Rep","HD-033",6596689,9043,NA,"John_Carpenter_(Nevada)",197583,0,"male",0
"John",8490,"John Oceguera","","Oceguera","",1,"D",1,"Rep","HD-016",296185,22815,NA,"John_Oceguera",205498,0,"male",0
"John",8546,"John Lee","","Lee","",1,"D",2,"Sen","SD-001",6436659,43937,NA,"John_J._Lee",197546,0,"male",0
"John",12199,"John Ellison","","Ellison","",2,"R",1,"Rep","HD-033",13009106,90566,NA,"John_Ellison",294536,0,"male",0
"John",17521,"John Moore","","Moore","",2,"R",1,"Rep","HD-008",13789818,138036,NA,"John_Moore_(Nevada)",407393,0,"male",0
"John",25746,"John Steinbeck","C.","Steinbeck","",2,"R",2,"Sen","SD-018",59832375,215917,NA,"John_Steinbeck",0,0,"male",0
"Joseph",8469,"Joseph Hardy","","Hardy","Joe",2,"R",2,"Sen","SD-012",6596468,43876,NA,"Joseph_Hardy",211795,0,"male",0
"Joseph",8491,"Joseph Hogan","","Hogan","",1,"D",1,"Rep","HD-010",6465012,43931,NA,"Joseph_Hogan_(Nevada)",227670,0,"male",0
"Joyce",8525,"Joyce Woodhouse","","Woodhouse","",1,"D",2,"Sen","SD-005",6476805,66860,NA,"Joyce_Woodhouse",249443,0,"female",1
"Julia",17976,"Julia Ratti","","Ratti","",1,"D",2,"Sen","SD-013",9689751,111905,NA,"Julia_Ratti",574105,0,"female",1
"Julie",24824,"Julie Pazina","Ann","Pazina","",1,"D",2,"Sen","SD-012",55496471,180946,NA,"Julie_Pazina",659253,0,"female",1
"Justin",15880,"Justin Jones","C.","Jones","",1,"D",2,"Sen","SD-009",13009031,44080,NA,"Justin_Jones_(Nevada)",407328,0,"male",0
"Justin",19232,"Justin Watkins","","Watkins","",1,"D",1,"Rep","HD-035",39827668,169577,NA,"Justin_Watkins",574151,0,"male",0
"Kasina",21659,"Kasina Douglass-Boone","","Douglass-Boone","",1,"D",1,"Rep","HD-017",0,0,NA,"Kasina_Douglass-Boone",746946,0,"female",1
"Kathy",8475,"Kathy McClain","","McClain","",1,"D",1,"Rep","HD-015",6395616,22825,NA,"Kathy_McClain",197562,0,"female",1
"Keith",19219,"Keith Pickard","","Pickard","",2,"R",1,"Rep","SD-020",39827602,169563,NA,"Keith_Pickard",574143,0,"male",0
"Kelly",12358,"Kelly Kite","","Kite","",2,"R",1,"Rep","HD-039",6686525,90522,NA,"Kelly_Kite",293502,0,"male",0
