"","people_id","name","session","party_id","party","role_id","role","district","NBillsCosponsored","NBillsPrimary","MeanPos","MedianPos","MeanNormPos","MedianNormPos","GOP","DEM","IND","Female","LittleLeader","BigLeader"
"WPSA.L.77.39",12094,"Richard Carrillo",77,1,"D",1,"Rep","HD-018",65,10,7.49230769230769,5,0.436655551946775,0.4,0,1,0,0,0,0
"WPSA.L.78.27",12094,"Richard Carrillo",78,1,"D",1,"Rep","HD-018",74,8,7.35135135135135,8,0.540882589398976,0.5,0,1,0,0,0,0
"WPSA.L.79.21",12094,"Richard Carrillo",79,1,"D",1,"Rep","HD-018",74,10,7.68918918918919,5,0.525403694501733,0.46031746031746,0,1,0,0,0,0
"WPSA.L.80.18",12094,"Richard Carrillo",80,1,"D",1,"Rep","HD-018",68,9,5.27941176470588,4,0.542737174094542,0.5,0,1,0,0,0,0
"WPSA.L.77.40",12095,"Randy Kirner",77,2,"R",1,"Rep","HD-026",94,10,12.2765957446809,9.5,0.639590433458352,0.659420289855073,1,0,0,0,1,0
"WPSA.L.78.28",12095,"Randy Kirner",78,2,"R",1,"Rep","HD-026",43,9,9.04651162790698,7,0.637608033666386,0.636363636363636,1,0,0,0,0,0
"WPSA.L.77.41",12097,"Lucy Flores",77,1,"D",1,"Rep","HD-028",49,9,11.4285714285714,7,0.528659997298794,0.571428571428571,0,1,0,1,1,0
"WPSA.L.77.42",12199,"John Ellison",77,2,"R",1,"Rep","HD-033",116,12,7.39655172413793,4,0.457518678628913,0.420168067226891,1,0,0,0,0,0
"WPSA.L.78.29",12199,"John Ellison",78,2,"R",1,"Rep","HD-033",73,10,5.97260273972603,5,0.507702042575511,0.470588235294118,1,0,0,0,1,1
"WPSA.L.79.22",12199,"John Ellison",79,2,"R",1,"Rep","HD-033",44,11,8.27272727272727,4.5,0.62158155853808,0.571428571428571,1,0,0,0,1,0
"WPSA.L.80.19",12199,"John Ellison",80,2,"R",1,"Rep","HD-033",60,9,4.81666666666667,3,0.669664591280445,0.666666666666667,1,0,0,0,1,0
"WPSA.L.81.13",12199,"John Ellison",81,2,"R",1,"Rep","HD-033",48,10,6.70833333333333,4.5,0.502340444644156,0.468627450980392,1,0,0,0,0,0
"WPSA.L.77.43",12200,"Ira Hansen",77,2,"R",1,"Rep","HD-032",80,11,10.55,8,0.519466880527036,0.522774327122153,1,0,0,0,0,0
"WPSA.L.78.30",12200,"Ira Hansen",78,2,"R",1,"Rep","HD-032",36,12,6.61111111111111,4,0.608573408203938,0.56959706959707,1,0,0,0,1,0
"WPSA.L.79.23",12200,"Ira Hansen",79,2,"R",1,"Rep","HD-032",26,9,12.9230769230769,8.5,0.695131921218878,0.673222912353347,1,0,0,0,0,0
"WPSA.L.80.20",12200,"Ira Hansen",80,2,"R",2,"Sen","SD-014",44,8,8.11363636363636,4,0.71777491878656,0.802439024390244,1,0,0,0,0,0
"WPSA.L.81.14",12200,"Ira Hansen",81,2,"R",2,"Sen","SD-014",38,3,7.13157894736842,5.5,0.608444119594678,0.577777777777778,1,0,0,0,0,0
"WPSA.L.82.8",12200,"Ira Hansen",82,2,"R",2,"Sen","SD-014",75,13,5.25333333333333,4,0.493640578267049,0.476190476190476,1,0,0,0,0,0
"WPSA.L.77.44",12202,"Jason Frierson",77,1,"D",1,"Rep","HD-008",71,6,10.4366197183099,7,0.530471495426591,0.5,0,1,0,0,1,0
"WPSA.L.78.31",12202,"Jason Frierson",78,1,"D",1,"Rep","HD-008",1,0,7,7,1,1,0,1,0,0,0,0
"WPSA.L.79.24",12202,"Jason Frierson",79,1,"D",1,"Rep","HD-008",82,26,7,3,0.45168850450369,0.476923076923077,0,1,0,0,1,1
"WPSA.L.80.21",12202,"Jason Frierson",80,1,"D",1,"Rep","HD-008",57,25,4.63157894736842,2,0.52350814962125,0.5,0,1,0,0,1,1
"WPSA.L.81.15",12202,"Jason Frierson",81,1,"D",1,"Rep","HD-008",38,23,4.89473684210526,1,0.526571003561541,0.5,0,1,0,0,1,1
"WPSA.L.82.9",12202,"Jason Frierson",82,1,"D",1,"Rep","HD-008",1,0,3,3,0.3,0.3,0,1,0,0,0,0
"WPSA.L.77.45",12203,"Richard Daly",77,1,"D",1,"Rep","HD-031",59,13,9.30508474576271,7,0.471637043653426,0.411764705882353,0,1,0,0,0,0
"WPSA.L.78.32",12203,"Richard Daly",78,1,"D",1,"Rep","HD-031",3,2,1.66666666666667,1,0.321969696969697,0.375,0,1,0,0,0,0
"WPSA.L.79.25",12203,"Richard Daly",79,1,"D",1,"Rep","HD-031",44,6,10.7272727272727,10,0.49865787144481,0.473684210526316,0,1,0,0,0,0
"WPSA.L.80.22",12203,"Richard Daly",80,1,"D",1,"Rep","HD-031",42,11,6.38095238095238,5,0.579786459779124,0.558265582655827,0,1,0,0,0,0
"WPSA.L.82.10",12203,"Richard Daly",82,1,"D",2,"Sen","SD-013",74,13,4.9054054054054,4,0.529284868803108,0.461538461538462,0,1,0,0,0,0
"WPSA.L.77.46",12204,"Olivia Diaz",77,1,"D",1,"Rep","HD-011",57,6,9.49122807017544,7,0.428291471109284,0.44,0,1,0,1,1,0
"WPSA.L.78.33",12204,"Olivia Diaz",78,1,"D",1,"Rep","HD-011",64,6,6.671875,5,0.429980359311947,0.4,0,1,0,1,0,0
"WPSA.L.79.26",12204,"Olivia Diaz",79,1,"D",1,"Rep","HD-011",60,7,9.68333333333333,7,0.558047785217329,0.509259259259259,0,1,0,1,0,0
"WPSA.L.80.23",12204,"Olivia Diaz",80,1,"D",1,"Rep","HD-011",7,1,6.71428571428571,5,0.534929857110308,0.5,0,1,0,1,0,0
"WPSA.L.77.47",12205,"Patrick Hickey",77,2,"R",1,"Rep","HD-025",125,12,8.048,5,0.49570744941025,0.5,1,0,0,0,1,0
"WPSA.L.78.34",12205,"Patrick Hickey",78,2,"R",1,"Rep","HD-025",44,8,7.97727272727273,4.5,0.582518019134303,0.555555555555556,1,0,0,0,0,0
"WPSA.L.77.48",12209,"Teresa Benitez-Thompson",77,1,"D",1,"Rep","HD-027",57,5,7.63157894736842,5,0.403092475018678,0.388888888888889,0,1,0,1,0,0
"WPSA.L.78.35",12209,"Teresa Benitez-Thompson",78,1,"D",1,"Rep","HD-027",51,8,6,5,0.417301364075748,0.368421052631579,0,1,0,1,1,0
"WPSA.L.79.27",12209,"Teresa Benitez-Thompson",79,1,"D",1,"Rep","HD-027",55,7,6.70909090909091,4,0.507715198562706,0.412698412698413,0,1,0,1,1,1
"WPSA.L.80.24",12209,"Teresa Benitez-Thompson",80,1,"D",1,"Rep","HD-027",56,11,3.96428571428571,3,0.541952153537519,0.5,0,1,0,1,1,1
"WPSA.L.81.16",12209,"Teresa Benitez-Thompson",81,1,"D",1,"Rep","HD-027",38,9,6.21052631578947,3.5,0.614174071209925,0.608333333333333,0,1,0,1,1,1
"WPSA.L.82.11",12209,"Teresa Benitez-Thompson",82,1,"D",1,"Rep","HD-027",2,1,1.5,1.5,0.555555555555556,0.555555555555556,0,1,0,1,0,0
"WPSA.L.77.49",12210,"Steven Brooks",77,1,"D",1,"Rep","HD-017",5,0,19.4,28,0.388888888888889,0.444444444444444,0,1,0,0,0,0
"WPSA.L.77.50",12211,"Irene Bustamante Adams",77,1,"D",1,"Rep","HD-042",64,8,7.28125,6,0.462096142148273,0.369395711500975,0,1,0,1,0,0
"WPSA.L.78.36",12211,"Irene Bustamante Adams",78,1,"D",1,"Rep","HD-042",62,7,7.24193548387097,7,0.531605230260308,0.5,0,1,0,1,0,0
"WPSA.L.79.28",12211,"Irene Bustamante Adams",79,1,"D",1,"Rep","HD-042",46,12,7.89130434782609,5.5,0.507405709189563,0.444444444444444,0,1,0,1,1,1
"WPSA.L.80.25",12211,"Irene Bustamante Adams",80,1,"D",1,"Rep","HD-042",2,0,9.5,9.5,0.396853146853147,0.396853146853147,0,1,0,1,0,0
